Term1	Term2	String1	String2	Mean	StdDev	RawScores
ferrari	lamborghini	Ferrari	Lamborghini	97.6000	2.2450	[97, 100, 100, 94, 97]
river_kent	river_thames	River Kent	River Thames	93.6000	10.3653	[98, 100, 97, 73, 100]
ronald_reagan	barack_obama	Ronald Reagan	Barack Obama	93.5000	8.6168	[100, 79, 100, 95]
mount_st._helens	mount_vesuvius	Mount St. Helens	Mount vesuvius	93.0000	6.2849	[100, 93, 96, 83]
asia	china	Asia	China	92.7500	6.3787	[82, 94, 97, 98]
modern_gallery,_zagreb	zagreb	Modern Gallery, Zagreb	Zagreb	92.2500	7.2241	[82, 89, 100, 98]
fc_dynamo_voronezh	leicester_city_f.c.	F.C. Dynamo Voronezh	Leicester City F.C.	92.0000	7.4833	[80, 100, 92, 96]
new_york_city	new_york_yankees	New York City	New York Yankees	91.5000	12.0104	[100, 95, 71, 100]
vladimir_putin	moscow	Vladimir Putin	Moscow	91.4000	12.6586	[91, 67, 99, 100, 100]
condé_nast	virgin_media	Condé Nast	Virgin Media	90.8000	10.4575	[96, 72, 99, 87, 100]
iraq	iran	Iraq	Iran	90.8000	7.1386	[100, 90, 89, 96, 79]
rocky_mountains	himalayas	Rocky Mountains	Himalayas	90.7500	9.8330	[100, 90, 98, 75]
cambodia	khmer_rouge	Cambodia	Khmer Rouge	90.7500	12.1115	[70, 95, 98, 100]
michael_jordan	national_basketball_association	Michael Jordan	National Basketball Association	90.0000	12.3288	[92, 66, 94, 98, 100]
the_louvre	paris	The Louvre	Paris	89.8000	8.3762	[89, 98, 76, 87, 99]
brad_pitt	leonardo_dicaprio	Brad Pitt	Leonardo DiCaprio	89.8000	8.3042	[80, 98, 100, 81, 90]
volga_river	nile	Volga River	Nile	89.7500	12.0908	[94, 98, 69, 98]
italy	france	Italy	France	89.0000	6.8191	[79, 91, 98, 88]
blue_ridge_mountains	catskill_mountains	Blue Ridge Mountains	Catskill Mountains	88.8000	7.4673	[81, 100, 86, 95, 82]
technical_university_munich	leipzig_university	Technical University Munich	Leipzig University	88.7500	10.2804	[72, 100, 92, 91]
moscow	moscow_kremlin	Moscow	Moscow Kremlin	88.5000	14.2916	[89, 100, 100, 65]
university_of_missouri	university_of_north_carolina_at_greensboro	University of Missouri	University of North Carolina at Greensboro	88.2500	5.8041	[83, 82, 93, 95]
england	university_of_cambridge	England	University of Cambridge	86.7500	16.6038	[96, 96, 97, 58]
european_space_agency	indian_space_research_organisation	European Space Agency	Indian Space Research Organisation	86.5000	9.0139	[78, 95, 77, 96]
real_madrid_c.f.	fc_barcelona	Real Madrid C.F.	FC Barcelona	86.5000	10.1612	[96, 74, 97, 79]
oxfam	habitat_for_humanity	Oxfam	Habitat for Humanity	86.5000	10.7355	[96, 71, 97, 82]
bill_clinton	gordon_brown	Bill Clinton	Gordon Brown	86.4000	11.5343	[74, 83, 100, 75, 100]
mount_st._helens	washington_(state)	Mount St. Helens	Washington (state)	86.2500	15.2049	[96, 88, 100, 61]
university_of_toronto	university_of_california,_berkeley	University of Toronto	University of California, Berkeley	86.2500	12.0908	[90, 98, 66, 91]
franklin_d._roosevelt	ronald_reagan	Franklin D. Roosevelt	Ronald Reagan	86.0000	6.7231	[73, 87, 92, 90, 88]
munich	fc_bayern_munich	Munich	F.C. Bayern Munich	85.6000	12.9399	[94, 85, 62, 87, 100]
tony_blair	united_kingdom	Tony Blair	United Kingdom	85.4000	13.5144	[62, 99, 87, 98, 81]
russia	moscow_metro	Russia	Moscow Metro	85.4000	16.8594	[99, 100, 98, 61, 69]
british_airways	aeroflot	British Airways	Aeroflot	85.4000	11.3066	[75, 94, 100, 70, 88]
vatican_museums	roman_catholic_church	Vatican Museums	Catholic Church	85.2500	15.1719	[59, 94, 95, 93]
danube	river_thames	Danube	River Thames	84.6000	10.0717	[88, 98, 90, 78, 69]
danielle_steel	ernest_hemingway	Danielle Steel	Ernest Hemingway	84.2500	12.6960	[100, 66, 91, 80]
greece	mount_olympus	Greece	Mount Olympus	84.2000	10.2450	[92, 94, 78, 67, 90]
puerto_rico	cuba	Puerto Rico	Cuba	83.2000	12.4804	[71, 86, 100, 92, 67]
jon_stewart	glenn_beck	Jon Stewart	Glenn Beck	81.7500	12.6960	[86, 64, 99, 78]
maya_angelou	bell_hooks	Maya Angelou	bell hooks	81.6000	9.3936	[64, 82, 91, 83, 88]
denmark	europe	Denmark	Europe	81.0000	19.0683	[95, 96, 53, 63, 98]
aristotle	greece	Aristotle	Greece	81.0000	25.7449	[31, 97, 100, 95, 82]
martin_luther_king,_jr.	rosa_parks	Martin Luther King, Jr.	Rosa Parks	80.6000	7.0029	[90, 85, 73, 72, 83]
karl_marx	joseph_stalin	Karl Marx	Joseph Stalin	80.2500	16.0059	[94, 98, 68, 61]
barack_obama	john_mccain	Barack Obama	John McCain	79.8000	8.1339	[84, 79, 72, 71, 93]
matterhorn	mount_everest	Matterhorn	Mount Everest	79.7500	12.1321	[72, 100, 78, 69]
leon_trotsky	fyodor_dostoyevsky	Leon Trotsky	Fyodor Dostoyevsky	79.4000	9.1782	[89, 70, 73, 73, 92]
bugatti	chrysler	Bugatti	Chrysler	78.5000	7.4330	[88, 83, 69, 74]
daniel_radcliffe	matt_damon	Daniel Radcliffe	Matt Damon	78.5000	9.0139	[85, 87, 64, 78]
minas_tirith	minas_morgul	Minas Tirith	Minas Morgul	77.8000	38.9379	[95, 96, 100, 0, 98]
iceland	greenland	Iceland	Greenland	77.7500	4.6030	[78, 84, 78, 71]
william_shatner	george_takei	William Shatner	George Takei	77.7500	11.9033	[81, 79, 59, 92]
brazil	bric	Brazil	BRIC	77.2500	29.2436	[100, 27, 91, 91]
shanghai_sharks	phoenix_suns	Shanghai Sharks	Phoenix Suns	76.4000	21.8961	[95, 100, 38, 77, 72]
volga_river	dnieper_river	Volga River	Dnieper	76.0000	38.5175	[97, 100, 0, 83, 100]
american_civil_liberties_union	national_association_for_the_advancement_of_colored_people	American Civil Liberties Union	National Association for the Advancement of Colored People	76.0000	14.4741	[93, 86, 69, 56]
jane_austen	edgar_allan_poe	Jane Austen	Edgar Allan Poe	75.5000	10.9659	[81, 90, 61, 70]
american_red_cross	american_heart_association	American Red Cross	American Heart Association	75.5000	12.7574	[59, 69, 81, 93]
new_jersey	princeton_university	New Jersey	Princeton University	75.2500	26.6400	[30, 82, 96, 93]
shanghai_art_museum	shanghai	Shanghai art museum	Shanghai	75.2000	33.5285	[100, 14, 98, 64, 100]
royal_swedish_academy_of_sciences	indian_institutes_of_technology	Royal Swedish Academy of Sciences	Indian Institutes of Technology	75.2000	12.9831	[69, 100, 62, 73, 72]
ivan_the_terrible	russia	Ivan the Terrible	Russia	75.0000	27.2029	[97, 29, 93, 81]
lionel_messi	derek_jeter	Lionel Messi	Derek Jeter	75.0000	14.5190	[64, 83, 100, 65, 63]
silvio_berlusconi	ronald_reagan	Silvio Berlusconi	Ronald Reagan	74.8000	19.4155	[59, 57, 97, 61, 100]
norway	denmark	Norway	Denmark	74.5000	9.1241	[75, 60, 78, 85]
german_army	spanish_navy	German Army	Spanish Navy	74.5000	34.4710	[92, 99, 15, 92]
mikhail_bulgakov_museum	moscow	Mikhail Bulgakov Museum	Moscow	74.2500	31.5941	[20, 88, 99, 90]
barack_obama	hillary_rodham_clinton	Barack Obama	Hillary Rodham Clinton	74.2500	13.4977	[84, 60, 62, 91]
christ	gautama_buddha	Jesus	Gautama Buddha	74.2000	12.4643	[75, 54, 86, 88, 68]
ben_affleck	rosario_dawson	Ben Affleck	Rosario Dawson	74.0000	15.1658	[86, 48, 82, 80]
hirohito	tokyo	Hirohito	Tokyo	73.6000	30.3486	[100, 21, 91, 58, 98]
johann_sebastian_bach	claude_debussy	Johann Sebastian Bach	Claude Debussy	73.0000	25.5969	[76, 25, 88, 76, 100]
iran	university_of_tehran	Iran	University of Tehran	72.2000	26.2023	[96, 100, 28, 61, 76]
singapore	laos	Singapore	Laos	71.5000	21.6852	[79, 100, 40, 67]
ottoman_empire	turkey	Ottoman Empire	Turkey	71.2000	30.9218	[72, 12, 100, 84, 88]
muhammad_ali	world_boxing_organization	Muhammad Ali	World Boxing Organization	71.0000	16.5680	[89, 53, 56, 86]
ralph_lauren	karl_lagerfeld	Ralph Lauren	Karl Lagerfeld	70.5000	19.7800	[42, 79, 96, 65]
julius_caesar	roman_army	Julius Caesar	Roman army	69.7500	26.0900	[29, 65, 94, 91]
canada	greenland	Canada	Greenland	69.7500	17.1810	[40, 79, 80, 80]
sergei_rachmaninoff	johann_sebastian_bach	Sergei Rachmaninoff	Johann Sebastian Bach	69.2500	22.3984	[92, 55, 90, 40]
qianlong_emperor	cao_cao	Qianlong Emperor	Cao Cao	69.2000	35.3350	[85, 80, 100, 0, 81]
lionel_messi	wayne_gretzky	Lionel Messi	Wayne Gretzky	68.7500	26.6024	[84, 99, 28, 64]
lionel_messi	fifa	Lionel Messi	FIFA	68.6000	19.4381	[87, 36, 59, 73, 88]
national_collegiate_athletic_association	united_states_olympic_committee	National Collegiate Athletic Association	United States Olympic Committee	68.6000	20.7615	[41, 100, 80, 52, 70]
beijing	yangtze_river	Beijing	Yangtze	68.2500	36.3825	[97, 6, 81, 89]
united_kingdom	eton_college	United Kingdom	Eton College	68.0000	33.5082	[31, 24, 100, 99, 86]
toshiro_mifune	akira_kurosawa	Toshiro Mifune	Akira Kurosawa	67.8000	20.0539	[88, 53, 73, 37, 88]
achilles	athens	Achilles	Athens	67.7500	39.6003	[88, 100, 83, 0]
vladimir_lenin	bolsheviks	Vladimir Lenin	Bolsheviks	67.6000	34.4418	[97, 0, 83, 79, 79]
nepal	sudan	Nepal	Sudan	67.5000	31.6662	[14, 92, 74, 90]
shahrukh_khan	fred_astaire	Shah Rukh Khan	Fred Astaire	67.4000	33.9211	[81, 100, 4, 63, 89]
arjuna	india	Arjuna	India	67.4000	35.9310	[88, 90, 0, 61, 98]
sachin_tendulkar	ken_griffey,_jr.	Sachin Tendulkar	Ken Griffey, Jr.	67.0000	27.0832	[81, 100, 27, 60]
george_harrison	liverpool	George Harrison	Liverpool	67.0000	27.1514	[77, 100, 24, 49, 85]
wales	cardiff_university	Wales	Cardiff University	66.2500	38.7710	[0, 78, 94, 93]
burkina_faso	democratic_republic_of_the_congo	Burkina Faso	Democratic Republic of the Congo	65.8000	33.6951	[71, 78, 90, 0, 90]
a._r._rahman	john_philip_sousa	A. R. Rahman	John Philip Sousa	65.7500	19.5752	[92, 56, 40, 75]
aeroflot	air_canada	Aeroflot	Air Canada	65.7500	38.0025	[0, 88, 85, 90]
kyrgyzstan	turkey	Kyrgyzstan	Turkey	65.2000	14.9452	[76, 40, 76, 78, 56]
guatemala	dominican_republic	Guatemala	Dominican Republic	65.0000	33.9352	[75, 97, 0, 68, 85]
ukraine	lithuania	Ukraine	Lithuania	65.0000	21.0357	[83, 54, 36, 87]
california	hawaii	California	Hawaii	64.7500	20.1665	[76, 34, 88, 61]
lyndon_b._johnson	john_kerry	Lyndon B. Johnson	John Kerry	64.7500	31.6652	[84, 85, 10, 80]
europe	manchester_united_f.c.	Europe	Manchester United F.C.	64.7500	37.8178	[79, 85, 95, 0]
woodrow_wilson	jimmy_carter	Woodrow Wilson	Jimmy Carter	64.5000	31.6899	[83, 72, 11, 92]
adele	united_kingdom	Adele	United Kingdom	64.5000	27.1063	[74, 18, 84, 82]
bell_hooks	ayn_rand	bell hooks	Ayn Rand	64.5000	37.4867	[0, 93, 83, 82]
the_louvre	museo_del_prado	The Louvre	Museo del Prado	64.2500	39.4739	[0, 100, 64, 93]
julia_roberts	lady_gaga	Julia Roberts	Lady Gaga	64.0000	21.0808	[76, 82, 41, 36, 85]
abraham_lincoln	napoleon	Abraham Lincoln	Napoleon	64.0000	19.5653	[55, 100, 57, 42, 66]
winston_churchill	lyndon_b._johnson	Winston Churchill	Lyndon B. Johnson	63.4000	19.0746	[58, 30, 87, 72, 70]
david_sedaris	buster_keaton	David Sedaris	Buster Keaton	63.4000	32.0412	[74, 72, 99, 3, 69]
social_security_administration	small_business_administration	Social Security Administration	Small Business Administration	63.0000	36.6674	[0, 91, 78, 83]
algeria	france	Algeria	France	63.0000	36.9932	[0, 94, 83, 75]
lithuania	kosovo	Lithuania	Kosovo	62.7500	29.9781	[18, 96, 54, 83]
harvard_law_school	london_school_of_economics	Harvard Law School	London School of Economics	62.2500	21.3234	[49, 37, 70, 93]
marilyn_monroe	brad_pitt	Marilyn Monroe	Brad Pitt	62.2500	29.9364	[78, 100, 20, 51]
vladimir_putin	moscow_metro	Vladimir Putin	Moscow Metro	62.2000	39.8768	[97, 100, 21, 7, 86]
iran	afghanistan	Iran	Afghanistan	62.0000	25.4853	[54, 81, 89, 24]
michelangelo	roman_catholic_church	Michelangelo	Catholic Church	61.8000	33.4090	[28, 23, 100, 58, 100]
himeji_castle	japan	Himeji Castle	Japan	61.7500	36.3413	[71, 78, 1, 97]
cleopatra	ramesses_ii	Cleopatra	Ramesses II	61.7500	37.0430	[0, 66, 89, 92]
richard_pryor	cary_grant	Richard Pryor	Cary Grant	61.6000	27.9900	[56, 63, 80, 13, 96]
new_york_city_ballet	london_symphony_orchestra	New York City Ballet	London Symphony Orchestra	61.4000	20.3823	[74, 41, 93, 60, 39]
fred_astaire	carol_channing	Fred Astaire	Carol Channing	61.2500	19.4856	[32, 86, 59, 68]
puerto_rico	united_states	Puerto Rico	United States	61.2500	12.7940	[67, 40, 64, 74]
ohio_state_university	columbus_crew	Ohio State University	Columbus Crew S.C.	60.8000	36.2569	[82, 13, 99, 89, 21]
tony_blair	john_f._kennedy	Tony Blair	John F. Kennedy	60.7500	37.4391	[80, 0, 63, 100]
moscow	volga_river	Moscow	Volga River	60.5000	38.2916	[87, 99, 56, 0]
ferdinand_vii_of_spain	spanish_armed_forces	Ferdinand VII of Spain	Spanish Armed Forces	60.2500	33.2594	[4, 68, 88, 81]
shahrukh_khan	abhishek_bachchan	Shah Rukh Khan	Abhishek Bachchan	60.0000	35.7827	[40, 100, 0, 79, 81]
royal_australian_air_force	russian_navy	Royal Australian Air Force	Russian Navy	59.8000	22.3195	[63, 57, 87, 20, 72]
cuba	florida	Cuba	Florida	59.7500	15.7540	[74, 34, 60, 71]
cairo	tokyo	Cairo	Tokyo	59.7500	28.7522	[16, 91, 53, 79]
oscar_wilde	maya_angelou	Oscar Wilde	Maya Angelou	59.7500	20.1665	[79, 32, 49, 79]
grand_canyon	colorado_river	Grand Canyon	Colorado River	59.5000	22.4332	[60, 55, 30, 93]
italy	vatican_hill	Italy	Vatican Hill	59.4000	35.5168	[0, 100, 43, 66, 88]
zhang_ziyi	beijing	Zhang Ziyi	Beijing	59.2000	30.8765	[74, 81, 0, 58, 83]
william_shakespeare	edgar_allan_poe	William Shakespeare	Edgar Allan Poe	59.0000	19.5038	[38, 42, 93, 63, 59]
king_arthur	england	King Arthur	England	58.7500	35.7587	[94, 0, 62, 79]
shahrukh_khan	mumbai	Shah Rukh Khan	Mumbai	58.7500	34.4048	[82, 84, 0, 69]
sachin_tendulkar	india	Sachin Tendulkar	India	58.2500	37.0025	[82, 97, 54, 0]
seoul	samsung_electronics	Seoul	Samsung Electronics	57.5000	33.8415	[81, 0, 66, 83]
james_earl_jones	angelina_jolie	James Earl Jones	Angelina Jolie	57.5000	16.5605	[61, 30, 74, 65]
london	communist_party_of_great_britain	London	Communist Party of Great Britain	57.0000	32.9090	[76, 76, 76, 0]
bbc_worldwide	condé_nast	BBC Worldwide	Condé Nast	56.8000	31.3777	[95, 54, 68, 67, 0]
harvard_university	indian_institute_of_technology_delhi	Harvard University	Indian Institute of Technology Delhi	56.0000	28.9620	[81, 59, 66, 74, 0]
gene_kelly	american_ballet_theatre	Gene Kelly	American Ballet Theatre	56.0000	33.5336	[0, 88, 63, 73]
white_house_press_corps	condé_nast	White House Press Corps	Condé Nast	55.7500	23.4774	[85, 64, 20, 54]
munich	danube	Munich	Danube	55.2500	32.7824	[68, 0, 67, 86]
fyodor_dostoyevsky	dean_koontz	Fyodor Dostoyevsky	Dean Koontz	54.7500	31.9012	[0, 77, 66, 76]
leon_trotsky	oliver_cromwell	Leon Trotsky	Oliver Cromwell	54.4000	40.2124	[53, 4, 99, 16, 100]
ghana	france	Ghana	France	54.0000	30.8707	[3, 59, 69, 85]
museo_del_prado	barcelona	Museo del Prado	Barcelona	53.6000	39.3273	[79, 13, 98, 0, 78]
jimi_hendrix	john_philip_sousa	Jimi Hendrix	John Philip Sousa	52.6000	32.5367	[71, 32, 1, 65, 94]
cary_grant	william_shatner	Cary Grant	William Shatner	52.5000	32.8519	[19, 100, 25, 66]
zinedine_zidane	paris_saint-germain_f.c.	Zinedine Zidane	Paris Saint-Germain F.C.	52.5000	46.2412	[0, 97, 13, 100]
united_kingdom	ethiopia	United Kingdom	Ethiopia	52.2500	39.7516	[0, 100, 29, 80]
congo_river	nigeria	Congo River	Nigeria	51.0000	35.0771	[81, 90, 20, 64, 0]
royal_australian_air_force	cayman_airways	Royal Australian Air Force	Cayman Airways	50.7500	31.4911	[82, 40, 77, 4]
italian_army	alfa_romeo	Italian Army	Alfa Romeo	50.5000	35.1390	[60, 98, 44, 0]
winston_churchill	bbc_worldwide	Winston Churchill	BBC Worldwide	50.4000	25.7961	[73, 59, 57, 63, 0]
julius_caesar	italy	Julius Caesar	Italy	50.2500	21.1468	[40, 61, 78, 22]
united_kingdom	barbados	United Kingdom	Barbados	50.2500	25.2228	[8, 54, 68, 71]
john_kerry	dick_cheney	John Kerry	Dick Cheney	50.0000	38.6264	[72, 100, 28, 0]
rome	mount_etna	Rome	Mount Etna	50.0000	27.3423	[80, 63, 62, 45, 0]
jeremy_clarkson	bbc_worldwide	Jeremy Clarkson	BBC Worldwide	49.8000	40.9800	[4, 0, 92, 59, 94]
guangzhou	lagos	Guangzhou	Lagos	49.8000	40.7205	[85, 79, 85, 0, 0]
gordon_brown	lyndon_b._johnson	Gordon Brown	Lyndon B. Johnson	49.6000	24.3360	[6, 59, 47, 56, 80]
oxfam	american_red_cross	Oxfam	American Red Cross	49.5000	30.8747	[58, 0, 85, 55]
anton_chekhov	oscar_wilde	Anton Chekhov	Oscar Wilde	49.4000	27.6883	[15, 33, 64, 40, 95]
rosa_parks	national_association_for_the_advancement_of_colored_people	Rosa Parks	National Association for the Advancement of Colored People	49.4000	41.9886	[0, 98, 0, 87, 62]
julius_caesar	nefertiti	Julius Caesar	Nefertiti	49.2500	39.3978	[79, 97, 15, 6]
delhi	indian_space_research_organisation	Delhi	Indian Space Research Organisation	49.0000	28.5394	[16, 58, 31, 91]
aishwarya_rai	screen_actors_guild	Aishwarya Rai	Screen Actors Guild	48.8000	36.3945	[0, 92, 69, 11, 72]
mumbai	singapore	Mumbai	Singapore	48.6000	38.7174	[58, 0, 7, 84, 94]
odysseus	mount_olympus	Odysseus	Mount Olympus	48.5000	47.1195	[100, 3, 0, 91]
frank_zappa	the_mothers_of_invention	Frank Zappa	The Mothers of Invention	48.2500	44.5779	[86, 0, 8, 99]
ethiopia	ottoman_empire	Ethiopia	Ottoman Empire	48.2500	36.2103	[34, 99, 60, 0]
cornell_university_press	university_of_massachusetts_amherst	Cornell University Press	University of Massachusetts Amherst	48.2000	22.6927	[3, 62, 59, 61, 56]
jimi_hendrix	george_carlin	Jimi Hendrix	George Carlin	47.7500	28.7522	[0, 77, 57, 57]
england	amnesty_international	England	Amnesty International	47.7500	34.4701	[100, 28, 55, 8]
palace_of_versailles	forbidden_city	Palace of Versailles	Forbidden City	47.0000	35.1710	[70, 28, 0, 90]
united_states_olympic_committee	world_boxing_organization	United States Olympic Committee	World Boxing Organization	46.5000	37.7392	[0, 100, 25, 61]
switzerland	world_economic_forum	Switzerland	World Economic Forum	46.2500	30.1610	[91, 53, 9, 32]
karl_marx	kurdistan_workers'_party	Karl Marx	Kurdistan Workers' Party	45.6000	24.7273	[50, 48, 0, 55, 75]
hungarian_natural_history_museum	budapest	Hungarian Natural History Museum	Budapest	44.8000	42.1967	[0, 100, 37, 0, 87]
ottoman_empire	russia	Ottoman Empire	Russia	44.7500	38.7710	[10, 5, 97, 67]
nelson_mandela	african_national_congress	Nelson Mandela	African National Congress	44.0000	44.0511	[85, 91, 0, 0]
mughal_empire	iran	Mughal Empire	Iran	43.5000	40.3764	[100, 63, 0, 11]
ludwig_van_beethoven	berlin	Ludwig van Beethoven	Berlin	43.5000	33.1097	[67, 0, 24, 83]
cirque_du_soleil	new_york_city_ballet	Cirque du Soleil	New York City Ballet	43.5000	33.9743	[0, 21, 81, 72]
catherine_the_great	oda_nobunaga	Catherine the Great	Oda Nobunaga	43.0000	26.2488	[0, 56, 70, 46]
ural_mountains	pearl_river_(china)	Ural Mountains	Pearl River (China)	42.2000	24.8145	[51, 69, 61, 30, 0]
julius_caesar	sophocles	Julius Caesar	Sophocles	42.0000	30.4565	[0, 73, 28, 28, 81]
glenn_beck	national_rifle_association	Glenn Beck	National Rifle Association	42.0000	33.4365	[18, 100, 59, 22, 11]
tallinn	moscow	Tallinn	Moscow	42.0000	25.7294	[42, 64, 62, 0]
shahrukh_khan	new_line_cinema	Shah Rukh Khan	New Line Cinema	41.6000	33.7437	[4, 1, 87, 54, 62]
mount_everest	grand_teton	Mount Everest	Grand Teton	41.0000	35.1212	[16, 89, 0, 59]
ibm	monsanto	IBM	Monsanto	40.8000	29.9025	[87, 10, 60, 38, 9]
qianlong_emperor	philip_ii_of_spain	Qianlong Emperor	Philip II of spain	40.4000	30.7415	[94, 27, 36, 45, 0]
kolkata	edinburgh	Kolkata	Edinburgh	40.2000	37.6372	[59, 1, 100, 41, 0]
fiji	tunisia	Fiji	Tunisia	40.2000	33.4449	[0, 0, 56, 69, 76]
small_business_administration	libertarian_party	Small Business Administration	Libertarian Party	39.2500	25.1135	[70, 43, 0, 44]
russia	warsaw	Russia	Warsaw	38.5000	22.0284	[7, 42, 69, 36]
belize	portugal	Belize	Portugal	38.0000	21.2250	[42, 71, 17, 22]
tennessee_williams	doris_day	Tennessee Williams	Doris Day	37.7500	25.0836	[0, 67, 32, 52]
monsanto	dupont	Monsanto	DuPont	37.2500	37.4525	[80, 0, 69, 0]
abraham_lincoln	rand_paul	Abraham Lincoln	Rand Paul	37.2500	26.4327	[58, 66, 25, 0]
international_atomic_energy_agency	united_nations_security_council	International Atomic Energy Agency	United Nations Security Council	36.8000	26.9919	[13, 70, 22, 10, 69]
munich	leipzig_university	Munich	Leipzig University	36.2500	36.3481	[0, 84, 2, 59]
hungary	afghanistan	Hungary	Afghanistan	36.0000	35.2987	[7, 96, 0, 23, 54]
new_york_mercantile_exchange	people's_bank_of_china	New York Mercantile Exchange	People's Bank of China	35.5000	23.0272	[0, 31, 51, 60]
j._r._r._tolkien	stan_lee	J.R.R. Tolkien	Stan Lee	35.4000	24.1296	[52, 0, 70, 22, 33]
fred_astaire	ballets_russes	Fred Astaire	Ballets Russes	35.2000	40.0769	[0, 89, 0, 79, 8]
sparta	vatican_museums	Sparta	Vatican Museums	35.2000	40.3752	[11, 100, 0, 0, 65]
karachi	kiev	Karachi	Kiev	34.7500	34.2591	[0, 68, 1, 70]
cairo	iraq	Cairo	Iraq	34.6000	35.2227	[70, 20, 83, 0, 0]
vladimir_lenin	aeroflot	Vladimir Lenin	Aeroflot	34.2000	40.6959	[0, 82, 86, 0, 3]
ivan_the_terrible	uzbekistan	Ivan the Terrible	Uzbekistan	33.8000	21.1981	[55, 53, 19, 42, 0]
volga_river	soviet_armed_forces	Volga River	Soviet Armed Forces	33.6000	41.8454	[0, 96, 0, 72, 0]
guangzhou	people's_bank_of_china	Guangzhou	People's Bank of China	33.5000	34.3911	[78, 0, 56, 0]
gautama_buddha	bangkok	Gautama Buddha	Bangkok	33.4000	30.5064	[67, 70, 0, 29, 1]
ural_mountains	volga_river	Ural Mountains	Volga River	33.2500	26.9942	[0, 65, 14, 54]
john_lennon	shahrukh_khan	John Lennon	Shah Rukh Khan	33.2500	25.6162	[55, 3, 13, 62]
united_states_olympic_committee	toronto_raptors	United States Olympic Committee	Toronto Raptors	33.2000	20.6824	[26, 43, 63, 34, 0]
charles_dickens	luciano_pavarotti	Charles Dickens	Luciano Pavarotti	33.0000	33.1889	[0, 61, 0, 71]
elvis_presley	bruce_willis	Elvis Presley	Bruce Willis	33.0000	30.7409	[0, 54, 72, 6]
taylor_swift	the_mothers_of_invention	Taylor Swift	The Mothers of Invention	32.2500	30.7439	[31, 82, 0, 16]
oscar_wilde	united_kingdom	Oscar Wilde	United Kingdom	31.5000	30.3686	[71, 51, 0, 4]
